Food Item,Calories,Protein,Carbs,Fat
1.0,214,20.49,0.0,14.06
0.0,199,28.77,0.17,9.2
2.0,125,3.25,16.5,5.13
0.0,372,23.34,0.0,30.95
0.0,341,25.56,0.0,26.59
1.0,400,22.57,0.0,33.7
1.0,386,21.95,0.0,32.38
0.0,120,23.3,0.0,2.95
0.0,120,23.28,0.0,3.0
0.0,127,23.26,0.0,3.74
0.0,123,21.3,0.0,4.17
0.0,196,27.01,0.0,8.9
0.0,181,26.57,0.0,7.53
0.0,203,28.61,0.0,9.18
0.0,233,28.17,0.0,12.53
0.0,259,24.24,1.81,17.21
0.0,226,25.28,1.1,13.43
1.0,184,29.85,0.2,7.12
1.0,203,28.99,0.36,9.48
0.0,139,20.36,0.0,6.42
0.0,152,20.87,0.0,7.67
0.0,137,21.1,0.0,5.89
0.0,129,21.69,0.0,4.0
0.0,253,27.53,0.0,15.0
1.0,200,27.71,0.0,9.02
0.0,169,28.29,0.0,5.33
0.0,152,20.07,0.0,7.94
0.0,212,29.33,0.0,9.67
0.0,334,27.18,0.0,24.14
1.0,313,28.77,0.0,21.06
1.0,279,35.54,0.0,14.08
0.0,125,21.45,0.11,4.35
0.0,121,21.93,0.0,3.7
1.0,193,32.04,0.0,6.25
1.0,309,30.2,0.0,19.93
1.0,295,30.05,0.0,18.5
0.0,127,23.24,0.0,3.83
0.0,220,27.53,0.0,11.4
1.0,192,25.46,0.0,9.26
1.0,177,31.61,0.0,4.65
1.0,192,19.06,0.0,12.4
1.0,222,19.79,0.0,15.42
1.0,238,34.34,0.0,10.13
0.0,131,21.19,0.0,5.18
0.0,122,21.05,0.0,4.2
1.0,167,27.51,0.0,6.37
0.0,213,32.9,0.0,8.01
0.0,137,20.28,0.0,6.21
0.0,215,27.97,0.0,11.47
0.0,199,27.88,0.0,9.77
1.0,223,18.04,0.0,16.15
1.0,243,28.37,0.0,13.46
0.0,139,21.94,0.0,5.74
2.0,51,3.48,4.97,1.92
0.0,139,22.15,0.08,5.54
0.0,165,20.64,0.0,8.55
1.0,137,19.88,0.0,5.81
1.0,310,25.92,0.0,22.12
1.0,178,29.42,0.0,5.84
0.0,154,21.85,0.0,7.41
0.0,212,18.47,0.17,15.26
0.0,198,19.14,0.23,13.44
0.0,121,23.59,0.0,2.94
1.0,254,19.33,0.0,19.06
0.0,150,20.74,0.0,6.85
0.0,137,20.98,0.0,5.21
0.0,207,25.7,0.0,10.84
0.0,139,21.94,0.0,5.74
1.0,196,33.15,0.0,6.0
0.0,169,28.71,0.0,5.17
0.0,178,28.54,0.0,6.25
0.0,161,25.74,0.0,5.69
0.0,157,26.13,0.0,5.02
0.0,177,26.0,0.0,7.36
0.0,198,25.98,0.0,9.61
1.0,228,20.61,0.0,15.49
0.0,121,23.59,0.0,2.94
0.0,138,22.52,0.18,5.29
1.0,318,27.33,0.0,22.35
1.0,331,25.85,0.0,24.5
0.0,128,23.46,0.0,3.81
0.0,121,23.44,0.0,3.04
0.0,127,23.49,0.0,3.66
0.0,120,23.49,0.0,2.85
0.0,216,25.73,0.0,11.73
1.0,298,28.66,0.0,19.47
0.0,124,23.35,0.0,3.38
0.0,116,23.41,0.0,2.52
0.0,124,23.35,0.0,3.38
0.0,116,23.41,0.0,2.52
1.0,200,29.04,0.0,8.39
1.0,163,28.0,0.0,5.72
0.0,244,28.05,0.0,13.8
0.0,283,29.23,0.0,17.56
1.0,264,26.44,0.0,16.78
1.0,257,26.8,0.0,15.75
1.0,230,27.12,0.0,12.71
0.0,208,20.12,0.0,14.14
0.0,241,18.69,0.2,18.43
1.0,166,21.49,0.0,8.24
3.0,37,0.6,8.47,0.06
1.0,359,26.37,0.0,27.26
0.0,144,21.91,0.0,6.21
0.0,153,21.5,0.0,7.4
0.0,153,21.61,0.0,7.41
0.0,171,20.89,0.0,9.76
0.0,176,27.68,0.0,6.42
0.0,149,27.37,0.0,4.38
0.0,209,35.62,0.0,6.31
1.0,160,22.1,0.0,7.27
1.0,266,32.99,0.0,13.83
1.0,155,22.32,0.0,6.6
0.0,157,21.2,0.04,8.0
0.0,176,21.34,0.06,10.08
1.0,195,18.85,0.0,12.68
0.0,287,29.28,0.0,18.84
0.0,306,27.75,0.0,21.72
0.0,188,29.88,0.0,7.12
0.0,206,29.51,0.0,8.87
1.0,144,22.41,0.0,5.34
0.0,165,20.32,0.0,9.29
1.0,189,29.34,0.0,7.04
1.0,173,26.36,0.0,6.75
0.0,124,21.96,0.0,3.24
0.0,150,21.57,0.0,7.1
0.0,274,17.51,0.0,22.07
1.0,192,20.7,0.0,11.54
0.0,142,21.95,0.0,6.02
1.0,280,28.97,0.0,17.37
0.0,253,31.06,0.0,13.3
0.0,183,30.55,0.0,5.79
0.0,205,33.26,0.0,6.99
1.0,360,11.6,73.19,1.41
0.0,143,20.35,0.0,6.88
0.0,133,20.39,0.0,5.73
0.0,186,29.39,0.0,7.61
1.0,316,16.26,0.0,27.29
0.0,127,21.36,0.0,4.6
0.0,117,21.22,0.0,3.53
1.0,147,22.01,0.0,6.05
1.0,130,22.37,0.0,4.55
1.0,224,34.72,0.0,8.37
1.0,205,34.6,0.0,6.35
1.0,218,20.36,0.0,14.58
1.0,273,26.43,0.0,17.78
1.0,331,23.9,0.0,25.39
1.0,316,23.9,0.0,23.7
1.0,262,26.48,0.0,16.53
0.0,133,21.41,0.0,4.66
0.0,208,28.35,0.51,10.26
0.0,235,17.48,0.0,18.33
0.0,206,29.65,0.0,8.8
0.0,219,29.02,0.0,10.54
2.0,21,0.83,1.25,1.46
0.0,205,33.59,0.0,6.77
0.0,221,32.21,0.0,9.24
1.0,223,20.11,0.0,15.18
0.0,142,21.26,0.0,5.63
1.0,187,31.01,0.0,6.02
2.0,52,1.88,10.1,0.37
1.0,141,22.33,0.0,5.04
1.0,225,34.6,0.0,8.54
1.0,250,34.09,0.0,11.61
0.0,291,26.79,0.0,19.52
2.0,56,3.95,5.49,1.98
0.0,172,26.82,0.0,6.34
1.0,308,25.26,0.0,22.21
1.0,343,24.04,0.0,26.67
0.0,216,24.61,0.0,12.26
0.0,142,22.46,0.0,5.78
1.0,261,17.21,0.0,20.8
0.0,135,22.16,0.0,5.1
0.0,143,21.78,0.0,6.16
2.0,56,3.95,5.49,1.98
1.0,138,22.93,0.0,5.15
1.0,187,29.51,0.0,6.72
0.0,174,20.64,0.0,9.51
0.0,157,20.64,0.0,7.68
